,Moneda,Total_Market_Cap,Total_Volume
55,vnd,9.38767934566899e+16,2646162680250631.5
30,idr,5.9900721479337736e+16,1688458327795763.5
37,mmk,7757012971429176.0,218651676089530.8
40,ngn,5715757825368363.0,161113566941526.53
34,krw,5436976972214626.0,153255400269864.62
13,ars,3808624968237704.0,107356044906571.73
61,sats,3717739957246562.0,104794213431257.42
21,clp,3709921840174392.5,104573839376451.73
29,huf,1489804960299177.0,41994044977843.45
36,lkr,1084579704478134.8,30571712476218.77
44,pkr,1028260813949295.0,28984217411431.633
33,jpy,583280789005601.8,16441292881246.955
15,bdt,448569440348748.3,12644101580859.672
46,rub,405617310341752.9,11433383582548.184
32,inr,317298153169885.9,8943877400520.299
43,php,215861628249743.88,6084623938887.872
53,uah,155597224397209.78,4385914273269.613
51,try,130734145457955.27,3685083437632.5405
50,thb,128112726148723.08,3611191885844.73
52,twd,121747760548000.8,3431778701674.984
23,czk,90089682441916.34,2539413062328.4644
38,mxn,76370240340797.03,2152694744146.9846
56,zar,69385819206115.63,1955820587401.587
41,nok,42010233412871.71,1184168182065.6313
48,sek,41046932935005.54,1157015041438.0378
60,bits,37177399572465.62,1047942134312.5742
28,hkd,28749660408920.266,810384288200.7015
22,cny,27095934013879.28,763769689333.7115
24,dkk,26736027838157.23,753624793502.4879
18,brl,22842887292699.594,643886456251.8301
39,myr,16695325106047.879,470601355282.30524
45,pln,15303584614309.816,431371513547.9903
47,sar,13884609538421.35,391373993908.0149
12,aed,13580318705462.043,382796761809.7458
31,ils,13505750813370.63,380694870959.7107
27,gel,10393210536546.443,292959791628.2149
7,xlm,8231211466496.609,232018199534.5115
42,nzd,6576612261124.332,185378998228.08405
14,aud,5941598333178.675,167479471671.02933
19,cad,5324956472656.767,150097809832.03406
49,sgd,5065444087789.444,142782775278.62695
5,eos,4039098651661.451,113852547795.08572
17,bmd,3697336973989.122,104219102044.58096
11,usd,3697336973989.122,104219102044.58096
25,eur,3584937929979.853,101050841342.4257
20,chf,3361751880881.9736,94759759466.60663
26,gbp,2972470362901.581,83786842869.63882
57,xdr,2831087894353.211,79801608626.55609
6,xrp,1533155987399.0347,43216006932.851006
16,bhd,1391880990543.0747,39233802060.19272
35,kwd,1139681938210.3027,32124912890.629807
9,dot,473809260441.1388,13355551850.148394
54,vef,370214351205.53076,10435458687.72389
8,link,154612709009.45792,4358163134.982137
58,xag,125046487622.82414,3524761942.3281384
2,ltc,32112652540.800873,905179007.3819072
3,bch,7802624301.720322,219937350.59511238
4,bnb,5187617347.261401,146226547.7791057
59,xau,1403176354.9986117,39552191.41693892
1,eth,1007222642.2737082,28391201.579735942
10,yfi,413876620.9514622,11666193.829844221
0,btc,37177399.57246562,1047942.1343125742
